,movie_names
0,Hara-Kiri: Death of a Samurai
1,Harakiri
2,Man of Steel
3,Superman
4,Scrooge
5,A Christmas Carol
6,The Quiet American
7,The Quiet American
8,High Society
9,The Philadelphia Story
10,Cinderella
11,Cinderella
12,Ocean Eleven
13,Ocean Eleven
14,Invasion of the Body Snatchers
15,Invasion of the Body Snatchers
16,Let Me In
17,Let the Right One In
18,The Fly
19,The Fly
20,Beauty and the Beast
21,Beauty and the Beast
22,Hairspray
23,Hairspray
24,Enchanted April
25,Enchanted April
26,The Beat That My Heart Skipped
27,Fingers
28,The Picture of Dorian Gray
29,The Picture of Dorian Grey
30,The Man Who Knew Too Much
31,The Man Who Knew Too Much
32,A Dogs Tale
33,Hachi-ko
34,Destry Rides Again
35,Destry Rides Again
36,The Ten Commandments
37,The Ten Commandments
38,Twelve Monkeys
39,La Jet&eacute;e
40,Les Mis&eacute;rables
41,Les Mis&eacute;rables
42,Scent of a Woman
43,Profumo di donna
44,3:10 to Yuma
45,3:10 to Yuma
46,12 Angry Men
47,12 Angry Men
48,Django
49,Yojimbo
50,Victor Victoria
51,Viktor und Viktoria
52,Cyrano de Bergerac
53,Cyrano de Bergerac
54,The Chorus
55,La cage aux rossignols
56,Fist of Legend
57,Jing wu men
58,Sorcerer
59,Le salaire de la peur
60,A Star Is Born
61,A Star Is Born
62,Shadowlands
63,Shadowlands
64,My Fair Lady
65,Pygmalion
66,Mother India
67,Aurat
68,Nosferatu the Vampyre
69,"Nosferatu, eine Symphonie des Grauens"
70,The Thing
71,The Thing from Another World
72,The Jungle Book
73,The Jungle Book
74,Gaslight
75,Gaslight
76,The Girl with the Dragon Tattoo
77,The Girl with the Dragon Tattoo
78,Heat
79,L.A. Takedown
80,True Grit
81,True Grit
82,13 Assassins
83,J&ucirc;san-nin no shikaku
84,Fistful of Dollars
85,Yojimbo
86,Il Postino
87,Ardiente paciencia
88,Scarface
89,Scarface
90,Imitation of Life
91,Imitation of Life
92,His Girl Friday
93,The Front Page
94,The Departed
95,Mou gaan dou
96,Holiday
97,Holiday
98,Manon of the Spring
99,Manon des sources
100,The Out-of-Towners
101,The Out of Towners
102,A Nightmare on Elm Street
103,A Nightmare on Elm Street
104,Love Dont Cost a Thing
105,Cant Buy Me Love
106,Flipper
107,Flipper
108,The Women
109,The Women
110,Beyond a Reasonable Doubt
111,Beyond a Reasonable Doubt
112,Blood: The Last Vampire
113,The Last Vampire
114,The Stepford Wives
115,The Stepford Wives
116,Gambit
117,Gambit
118,The Big Wedding
119,Mon fr&egrave;re se marie
120,Village of the Damned
121,Village of the Damned
122,My Father the Hero
123,Mon Pere Ce Heros
124,Shutter
125,Shutter
126,Flubber
127,The Absent-Minded Professor
128,The Blue Lagoon
129,The Blue Lagoon
130,The Shaggy Dog
131,The Shaggy Dog
132,When a Stranger Calls
133,When a Stranger Calls
134,Diabolique
135,Diabolique
136,Bangkok Dangerous
137,Bangkok Dangerous
138,The Truth About Charlie
139,Shoot the Piano Player
140,Intersection
141,Les choses de la vie
142,Blame It on Rio
143,Un moment degarement
144,Poltergeist
145,Poltergeist
146,Mixed Nuts
147,Le p&egrave;re No&euml;l est une ordure
148,Are We Done Yet?
149,Mr. Blandings Builds His Dream House
150,Flatliners
151,Flatliners
152,The Stepfather
153,The Stepfather
154,Jungle 2 Jungle
155,"Little Indian, Big City"
156,Knock Knock
157,Death Game
158,Godzilla
159,Godzilla
160,Fathers Day
161,The ComDads
162,Point Break
163,Point Break
164,The Haunting
165,The Haunting
166,Night of the Demons
167,Night of the Demons
168,Black Christmas
169,Black Christmas
170,Pulse
171,Pulse
172,Get Carter
173,Get Carter
174,Taxi
175,Taxi
176,Eye of the Beholder
177,Deadly Circuit
178,The Bachelor
179,The House on Sorority Row
180,Sorority Row
181,The House on Sorority Row
182,Prom Night
183,Prom Night
184,One Missed Call
185,One Missed Call
186,Fantastic Four
187,Fantastic Four
188,The Wicker Man
189,The Wicker Man
190,The Fog
191,The Fog
192,Left Behind
193,Left Behind: The Movie
194,Swept Away
195,Swept Away
196,Cool as Ice
197,The Wild One
198,Rollerball
199,Rollerball
